latitude,longitude,altitude
-1.82535885,31.13084671,1672.7
-4.76558728,39.1727956,6.1
-3.76636472,33.36240982,1141
-4.22619802,32.62061707,1254.2
-5.14671181,32.71110001,1154.9
-1.25705061,30.62699053,1354.4
-3.2901938,33.79810612,1280.6
-3.62933335,34.36407268,1147.4
-2.59826671,33.9262365,1232.5
-1.73536124,31.10425712,1491.5
-5.79099991,36.1083125,1038.6
-9.63851993,33.85434473,494.6
-4.6479063,35.85837259,1192.9
-3.83899753,33.34526033,1113
-9.17290468,33.5406067,1365.2
-9.44812238,33.95816322,498.8
-3.05945885,32.57038138,1237.5
-1.68065404,30.98302258,1429.9
-1.56388609,31.45428168,1169.7
-1.2857798,30.71609028,1386.5
-8.57578037,34.46222769,1056.7
-8.60751263,34.24718,1037.4
-1.35148627,31.79687285,1297.4
-3.36190077,32.25500494,1302.5
-3.36161167,33.53890869,1234.7
-2.37877187,32.18551701,1166.3
-2.02646851,31.55890304,1314.2
-5.89186837,35.87817211,1091.3
-1.19438963,31.45311103,1155
-3.00965923,33.0795039,1156.2
-3.56601953,33.23583842,1197
-3.26949691,33.69790014,1260
-3.0251057,31.7673009,1209.9
-9.1306743,33.80508085,1633.5
-3.26790435,31.48904738,1206.3
-9.26648533,33.23267014,1853
-6.37279744,36.55702857,1163.4
-1.08048548,31.66327256,1194.9
-1.42926609,31.57239755,1163.4
-2.77016894,31.4647567,1315.8
-9.29061569,33.87310388,917.6
-5.06726885,32.071081,1114.6
-3.77939282,32.95155946,1172.2
-2.69044203,32.99370088,1243.5
-2.93012242,31.6012707,1243.1
-8.68481006,33.86126585,1072.9
-4.07660522,32.54432125,1209.1
-9.09504292,32.41352249,1447.9
-3.06136744,31.19411613,1234.6
-2.78450823,31.64732214,1240.7
-9.59608383,33.86084491,504.4
-5.41803094,32.78502522,1253.7
-1.59857903,31.65326799,1259.9
-8.69424705,34.35839958,1074.9
-8.77994557,33.78421925,1165.8
-8.9288387,33.54480544,1878.3
-3.64330972,32.17244285,1169.3
-3.12214007,34.08915375,1320.7
-2.54645921,33.16358148,1198.7
-4.42476057,33.43789893,1307.8
-2.86366064,34.21147848,1413.4
-2.88996128,34.04414506,1335
-9.07440778,33.20344175,1790.6
-8.43639754,33.01476219,991.9
-1.13959123,31.51225219,1147.5
-8.93211477,33.72402918,2101.1
-8.82993517,33.85161987,1210.9
-3.72624692,33.78466711,1113.1
-2.54922891,30.75176889,1375.7
-2.5554993,30.49985221,1502.3
-1.33162743,31.77582328,1219.3
-9.01509636,32.85025146,1543.3
-9.52747959,33.82643865,500
-9.31914172,33.24244114,1650
-9.61165417,33.93868915,487.6
-3.81255032,33.10016187,1202.3
-9.03216574,33.10623082,1704.1
-3.64794666,32.16614798,1171.3
-2.84922488,32.91684591,1148.3
-5.13246175,38.4687019,337.7
-8.95920754,33.333789,1419.6
-4.20136566,33.2773436,1219.7
-8.5683947,33.0591187,838.1
-2.47636967,31.73311371,1162.7
-6.03113722,35.62759083,1143.2
-4.9549518,39.09126059,42
-1.31490138,31.80083428,1244
-2.46584775,33.79092498,1246.3
-3.91165507,32.50515031,1213.7
-2.87750345,32.27817436,1251.6
-1.29523982,31.45223354,1166.7
-6.32118,35.63768716,1111.5
-3.75139073,33.0849318,1205.3
-5.79362559,35.91196769,1208.6
-8.95958218,33.30381177,1344.4
-9.45005507,33.69121711,845.6
-5.630633,32.74750562,1144
-8.81026548,32.71120577,1423.8
-3.83408324,33.06037263,1210.6
-4.75461109,39.11013687,93.1
-3.76408399,33.83495799,1119.8
-2.3704004,33.69613784,1258.5
-3.56849388,33.99969741,1137.2
-5.97347421,35.86593887,1070
-9.24781007,32.6262126,1623.3
-2.50530793,30.51219714,1687.5
-2.87750345,32.27817436,1251.6
-3.74548548,33.02122705,1199.4
-9.57524712,33.76897675,530.7
-4.38908379,33.43091711,1272
-3.15255484,31.87632762,1193.1
-2.83580954,32.43722658,1189.3
-9.3522683,33.59620292,1077.1
-8.87481184,33.61237059,1631.9
-9.63286017,33.8783666,494.5
-1.28905466,30.71672742,1372
-8.6421956,34.29424585,1047.5
-2.97513441,33.81198112,1288.6
-6.22393508,36.35396378,897.2
-2.72660619,33.62665598,1214.2
-2.87750345,32.27817436,1251.6
-5.92990107,36.04584041,1067
-9.32481172,32.94752532,1367.2
-3.28863325,33.50643109,1217.3
-3.17625599,34.06791698,1339.5
-5.63404591,35.70202678,1125.3
-4.03006799,33.46782217,1156.7
-6.23339413,36.55763103,1164.9
-2.86366064,34.21147848,1413.4
-8.61393801,34.33972708,1051.8
-8.56654494,33.45691647,1546.8
-2.13334776,31.45298632,1223.6
-8.95106078,33.72743813,2259.6
-6.22015672,36.41670102,1091.9
-4.02026539,33.35584599,1129.3
-4.8807539,33.10638261,1249
-6.17159079,36.23490716,888.5
-6.08425531,36.72938267,1307.1
-7.45825658,33.42849515,1338.9
-4.27140543,32.8186052,1210.4
-2.6736728,33.31855816,1262.6
-9.44602467,33.82500278,532.6
-2.99658524,33.09165496,1158.8
-3.84954464,32.65185323,1208.2
-2.8630691,33.64477524,1224.9
-2.7845813,30.95668868,1348.4
-2.54770471,32.50846356,1144.9
-8.70124771,34.3749434,1078.6
-1.21231446,31.82735182,1238.6
-8.8435735,33.24888389,1274.1
-3.80931874,33.01279745,1204.1
-3.06119502,33.76982733,1269.2
-9.17665663,33.54222258,1345.4
-3.6079163,33.46966096,1136.8
-1.2126409,31.61498498,1152.4
-8.75232028,33.44574404,1646.8
-2.82067589,33.52797453,1230.9
-9.26773755,33.88927158,874.3
-8.38308888,33.00045117,1028.8
-3.83221112,33.81341932,1118.1
-3.85714836,33.28236873,1122.1
-1.63276881,31.52611967,1359.9
-3.79671202,33.46572835,1089.9
-2.54204907,30.7575028,1443.5
-3.27751494,32.88151654,1191.6
-6.4395627,35.59538597,1012.6
-6.12962635,36.9842302,1175.3
-3.36690118,32.23969163,1268.6
-1.21680448,31.62715349,1197.3
-3.69931833,33.92608597,1100.3
-3.24751324,33.4478015,1217.3
-1.28454595,31.80724315,1316
-8.82142407,33.23896133,1240.1
-3.7849058,33.12878044,1240.3
-2.67942163,33.60788087,1200.2
-3.59574863,33.5328196,1186.7
-8.83605681,33.24316217,1261.5
-3.86294405,33.05290406,1178.1
-7.87280492,32.48621516,1167.6
-8.68427697,34.46501624,1098.2
-8.98619944,33.6605602,2349.6
-8.99872192,33.66509152,2355.3
-9.15684326,33.83080117,1578.1
-6.84217298,33.25824958,1194.7
-8.85924383,34.03537789,1153.2
-2.81886868,31.75690383,1161.4
-8.1386234,34.85735486,1067.8
-5.99319228,36.69688079,1350.8
-9.31479104,33.90449057,747.6
-3.87439647,33.26558713,1114.6
-3.17637233,34.30392413,1349
-4.10007773,32.89848608,1168
-8.91545457,33.09696393,1472.2
-3.23459106,33.13340374,1215.5
-6.06749222,35.52795009,993.1
-6.37243735,36.55646735,1166.3
-3.54440659,33.45195532,1156.6
-6.14614159,36.1945552,899
-3.15937362,33.32829159,1226.8
-4.21969903,32.88778684,1194.7
-8.93950556,33.19362237,1280.6
-8.82302461,33.8495207,1197.9
-3.87833847,33.52206697,1071
-4.21637305,33.24683363,1219.4
-2.34388649,32.48102458,1154.6
-2.45428074,32.20144687,1195
-3.09536601,34.08777811,1314.9
-1.28284016,31.83004879,1312.4
-3.85306228,32.26134425,1204
-4.51556434,35.79284444,1244.2
-9.44325017,33.94732577,498.4
-6.38347804,35.89378179,1037.8
-7.03154219,36.49807768,1566.4
-4.25968622,32.77056167,1210.5
-2.70927561,33.88058988,1258.7
-3.91752002,33.05168302,1156
-2.83350351,33.52741962,1220.9
-4.26373615,33.61860112,1177
-8.87988853,32.31003605,1442.9
-2.4948562,33.61682666,1167.2
-1.33369854,31.75404436,1365.4
-3.86590618,33.19288483,1182.9
-1.36886109,30.7932219,1651.6
-3.44214478,33.81524867,1180.4
-3.82546752,32.73128806,1185.6
-4.60465381,35.8033711,1233.3
-4.56498639,35.80132553,1196.4
-3.44166124,31.89493405,1222.9
-8.85496293,34.01613266,1169.9
-2.59826671,33.9262365,1232.5
-3.74702273,33.25045393,1204.2
-2.9958472,34.25644023,1365.2
-1.38578104,31.50434571,1153.7
-3.15696421,34.32154177,1358.8
-2.53075133,31.69514651,1167.2
-3.6024107,33.53642426,1171.6
-2.63072028,33.99687053,1283.6
-3.63898301,32.45293726,1199.3
-3.45445766,33.51813022,1178.9
-9.22787315,33.11236992,1742.8
-3.18222311,34.18813213,1333.2
-2.51135503,33.95188792,1261.2
-3.73395582,32.6482678,1202
-4.12138622,32.70635561,1207.6
-6.69601536,35.58055715,951.8
-1.56028832,31.17302557,1247.9
-9.4257021,33.07333157,1332.6
-4.87377259,32.8356512,1193
-1.34052484,30.92891601,1670.1
-2.32966317,33.6632815,1151.2
-2.65655908,34.16744348,1328.7
-3.28117787,34.03356563,1290.6
-2.682506,32.98957441,1222.5
-1.54851555,31.51247434,1176.3
-8.7387419,34.36963401,1093.1
-2.75755562,33.15133011,1225.6
-6.13539848,35.93791175,1078.5
-5.41738797,35.61637401,1323.4
-3.1860387,34.30308178,1356.7
-6.71901889,36.18107383,874.5
-3.95792936,33.14853021,1103.3
